dblp_title,dblp_authors,dblp_pages,ieee_url
Writer identification for historical handwritten documents using a single feature extraction method.,"Michel Chammas, Abdallah Makhoul, Jacques Demerjian",1-6,https://doi.org/10.1109/ICMLA51294.2020.00010
Extending SpArSe: Automatic Gesture Recognition Architectures for Embedded Devices.,"Juan Borrego-Carazo, David Castells-Rufas, Jordi Carrabina, Ernesto Biempica",7-12,https://doi.org/10.1109/ICMLA51294.2020.00011
Multi-Class 3D Object Detection Within Volumetric 3D Computed Tomography Baggage Security Screening Imagery.,"Qian Wang, Neelanjan Bhowmik, Toby P. Breckon",13-18,https://doi.org/10.1109/ICMLA51294.2020.00012
Learning to Solve Combinatorial Optimization Problems on Real-World Graphs in Linear Time.,"Iddo Drori, Anant Kharkar, William R. Sickinger, Brandon Kates, Qiang Ma, Suwen Ge, Eden Dolev, Brenda Dietrich, David P. Williamson, Madeleine Udell",19-24,https://doi.org/10.1109/ICMLA51294.2020.00013
Knowledge Graph Extraction from Videos.,"Louis Mahon, Eleonora Giunchiglia, Bowen Li, Thomas Lukasiewicz",25-32,https://doi.org/10.1109/ICMLA51294.2020.00014
Tsallis Entropy Based Labelling.,"Kentaro Goto, Masato Uchida",33-40,https://doi.org/10.1109/ICMLA51294.2020.00015
Learning with Unpaired Data.,Jiebo Luo,38,https://doi.org/10.1109/ICMLA51294.2020.00008
A Cognitive Architecture for Object Recognition in Video.,José C. Príncipe,39,https://doi.org/10.1109/ICMLA51294.2020.00009
Online Gaussian LDA for Unsupervised Pattern Mining from Utility Usage Data.,"Saad Mohamad, Abdelhamid Bouchachia",41-48,https://doi.org/10.1109/ICMLA51294.2020.00016
Evaluating Mixed-Precision Arithmetic for 3D Generative Adversarial Networks to Simulate High Energy Physics Detectors.,"John Osorio Ríos, Adrià Armejach, Gulrukh Khattak, Eric Petit, Sofia Vallecorsa, Marc Casas",49-56,https://doi.org/10.1109/ICMLA51294.2020.00017
Single Camera Masked Face Identification.,"Vivek Aswal, Omkar Tupe, Shifa Shaikh, Nadir N. Charniya",57-60,https://doi.org/10.1109/ICMLA51294.2020.00018
Public Dataset of Parking Lot Videos for Computational Vision Applied to Surveillance.,"Ingrid Nascimento, Pedro Castro, Sofia Klautau, Luan Gonçalves, Carnot Filho, Flávio Brito, Aldebaro Klautau, Silvia Lins",61-64,https://doi.org/10.1109/ICMLA51294.2020.00019
Low-Rank Sparse Tensor Approximations for Large High-Resolution Videos.,"Xiang Liu, Huyunting Huang, Weitao Tang, Tonglin Zhang, Baijian Yang",65-70,https://doi.org/10.1109/ICMLA51294.2020.00020
MaskedFusion: Mask-based 6D Object Pose Estimation.,"Nuno Pereira, Luís A. Alexandre",71-78,https://doi.org/10.1109/ICMLA51294.2020.00021
Neural Architecture Search for Automotive Grid Fusion Networks Under Embedded Hardware Constraints.,"Gábor Balázs, Walter Stechele",79-86,https://doi.org/10.1109/ICMLA51294.2020.00022
Harmonic Structure-Based Neural Network Model for Music Pitch Detection.,"Xian Wang, Lingqiao Liu, Qinfeng Shi",87-92,https://doi.org/10.1109/ICMLA51294.2020.00023
From Quantitative Analysis to Synthesis of Efficient Binary Neural Networks.,"Tim Stadtmann, Cecilia Latotzke, Tobias Gemmeke",93-100,https://doi.org/10.1109/ICMLA51294.2020.00024
Analysis of Generalizability of Deep Neural Networks Based on the Complexity of Decision Boundary.,"Shuyue Guan, Murray H. Loew",101-106,https://doi.org/10.1109/ICMLA51294.2020.00025
Neural Data Augmentation Techniques for Time Series Data and its Benefits.,"Anindya Sarkar, Anirudh Sunder Raj, Raghu Sesha Iyengar",107-114,https://doi.org/10.1109/ICMLA51294.2020.00026
Verifying Artificial Neural Network Classifier Performance Using Dataset Dissimilarity Measures.,"Darryl Hond, Hamid Asgari, Daniel Jeffery",115-121,https://doi.org/10.1109/ICMLA51294.2020.00027
Deep neural network for load forecasting centred on architecture evolution.,"Santiago Gomez-Rosero, Miriam A. M. Capretz, Syed Mir",122-129,https://doi.org/10.1109/ICMLA51294.2020.00028
Finite Difference Neural Networks: Fast Prediction of Partial Differential Equations.,"Zheng Shi, Nur Sila Gulgec, Albert S. Berahas, Shamim N. Pakzad, Martin Takác",130-135,https://doi.org/10.1109/ICMLA51294.2020.00029
Efficient and Compact Convolutional Neural Network Architectures for Non-temporal Real-time Fire Detection.,"William Thomson, Neelanjan Bhowmik, Toby P. Breckon",136-141,https://doi.org/10.1109/ICMLA51294.2020.00030
LB-CNN: Convolutional Neural Network with Latent Binarization for Large Scale Multi-class Classification.,"Timothy Reese, Michael Zhu",142-147,https://doi.org/10.1109/ICMLA51294.2020.00031
NGM: Neural Gaussian Mirror for Controlled Feature Selection in Neural Networks.,"Xin Xing, Yu Gui, Chenguang Dai, Jun S. Liu",148-152,https://doi.org/10.1109/ICMLA51294.2020.00032
Adaptive Algorithm for Estimation of Model of Neural Activity in Brain-Computer Interfaces.,"Sergei A. Plotnikov, Alexander L. Fradkov, Denis N. Komarov",153-156,https://doi.org/10.1109/ICMLA51294.2020.00033
Applying Gradient Boosting Trees and Stochastic Leaf Evaluation to MCTS on Hearthstone.,"Tasos Papagiannis, Georgios Alexandridis, Andreas Stafylopatis",157-162,https://doi.org/10.1109/ICMLA51294.2020.00034
Discovering Gene-Disease Associations with Biomedical Word Embeddings.,"Payal Mitra, Thom Pijnenburg, Viachaslau Sazonau",163-170,https://doi.org/10.1109/ICMLA51294.2020.00035
Online Cluster Drift Detection for Novelty Detection in Data Streams.,"Shon Mendelson, Boaz Lerner",171-178,https://doi.org/10.1109/ICMLA51294.2020.00036
A clustering-based biased Monte Carlo approach to protein titration curve prediction.,"Arun V. Sathanur, Nathan A. Baker",179-184,https://doi.org/10.1109/ICMLA51294.2020.00037
GCN with Clustering Coefficients and Attention Module.,"Rakesh Kumar Yadav, Abhishek, Sourav S, Shekhar Verma",185-190,https://doi.org/10.1109/ICMLA51294.2020.00038
Anomaly Detection in Unsupervised Surveillance Setting Using Ensemble of Multimodal Data with Adversarial Defense.,"Sayeed Shafayet Chowdhury, Kazi Mejbaul Islam, Rouhan Noor",191-194,https://doi.org/10.1109/ICMLA51294.2020.00039
RAM-Net: A Residual Attention MobileNet to Detect COVID-19 Cases from Chest X-Ray Images.,"Md. Aminur Rab Ratul, Maryam Tavakol Elahi, Kun Yuan, Won-Sook Lee",195-200,https://doi.org/10.1109/ICMLA51294.2020.00040
Regression Ensembles for Fast Design Space Exploration of Heterogeneous Hardware Designs.,"Alba Sandyra Bezerra Lopes, Anne Magály de Paula Canuto, Monica Magalhães Pereira",201-204,https://doi.org/10.1109/ICMLA51294.2020.00041
Falsification-Based Robust Adversarial Reinforcement Learning.,"Xiao Wang, Saasha Nair, Matthias Althoff",205-212,https://doi.org/10.1109/ICMLA51294.2020.00042
Modeling Agent Behaviors for Policy Analysis via Reinforcement Learning.,"Osonde A. Osoba, Raffaele Vardavas, Justin Grana, Rushil Zutshi, Amber Jaycocks",213-219,https://doi.org/10.1109/ICMLA51294.2020.00043
SASBO: Self-Adapting Safe Bayesian Optimization.,"Stefano De Blasi, Alexander Gepperth",220-225,https://doi.org/10.1109/ICMLA51294.2020.00044
Reinforcement Learning based Evolutionary Metric Filtering for High Dimensional Problems.,"Bassel Ali, Koichi Moriyama, Masayuki Numao, Ken-ichi Fukui",226-233,https://doi.org/10.1109/ICMLA51294.2020.00045
Optimizing CNN using Fast Fourier Transformation for Object Recognition.,"Varsha Nair, Moitrayee Chatterjee, Neda Tavakoli, Akbar Siami Namin, Craig Snoeyink",234-239,https://doi.org/10.1109/ICMLA51294.2020.00046
A proposal for online analysis and identification of fraudulent financial transactions.,"Rodrigo Araujo Lima Torres, Marcelo Ladeira",240-245,https://doi.org/10.1109/ICMLA51294.2020.00047
Bayesian Sampler: Fairness in Sampling.,Ishani Chakraborty,246-251,https://doi.org/10.1109/ICMLA51294.2020.00048
Use of Auxiliary Classifier Generative Adversarial Network in Touchstroke Authentication.,"Debzani Deb, Mina M. Guirguis",252-257,https://doi.org/10.1109/ICMLA51294.2020.00049
Cell Type Identification from Single-Cell Transcriptomic Data via Gene Embedding.,"Shanta Chowdhury, Xishuang Dong, Oscar A. Solis, Lijun Qian, Xiangfang Li",258-263,https://doi.org/10.1109/ICMLA51294.2020.00050
Deep Multiple Instance Learning Ensemble for the Acoustic Detection of Tropical Birds.,"Jorge Castro, Roberto Vargas-Masís, Danny Alfaro Rojas",264-269,https://doi.org/10.1109/ICMLA51294.2020.00051
Unsupervised ageing detection of mechanical systems on a causality graph.,"Edouard Pineau, Sébastien Razakarivony, Thomas Bonald",270-277,https://doi.org/10.1109/ICMLA51294.2020.00052
AI-based prediction for early detection of Tuberculosis in India based on environmental factors.,"Nupur Giri, Richard Joseph, Sanika Chavan, Raghav Heda, Reema Israni, Ritika Sethiya",278-285,https://doi.org/10.1109/ICMLA51294.2020.00053
Ensemble Hyperspectral Band Selection for Detecting Nitrogen Status in Grape Leaves.,"Ryan Omidi, Ali Moghimi, Alireza Pourreza, Mohamed El-Hadedy, Anas Salah Eddin",286-293,https://doi.org/10.1109/ICMLA51294.2020.00054
Multimodal Word Sense Disambiguation in Creative Practice.,"Manuel Ladron de Guevara, Christopher George, Akshat Gupta, Daragh Byrne, Ramesh Krishnamurti",294-301,https://doi.org/10.1109/ICMLA51294.2020.00055
Topological Data Analysis to Engineer Features from Audio Signals for Depression Detection.,"M. L. Tlachac, Adam Sargent, Ermal Toto, Randy C. Paffenroth, Elke A. Rundensteiner",302-307,https://doi.org/10.1109/ICMLA51294.2020.00056
